,Happiness Index,Country/Region,Cumulative Confirmed Cases,Population,Case per Capita,Density (P/Km²),R Value
100,6.223,Cyprus,192157,1207359,0.1591548164216277,131,2.267299800365888
114,6.189,Estonia,247863,1326535,0.186849951188623,31,1.2169689759362343
208,6.18,Panama,512402,4314767,0.11875542758160522,58,2.1407836707115693
272,6.179,Uzbekistan,199507,33469203,0.005960912783014283,79,0.7015115131068477
57,6.172,Chile,1817300,19116201,0.09506596001998514,26,1.0910247638810098
213,6.166,Poland,4179292,37846611,0.1104271132757435,124,0.7736122265156985
157,6.152,Kazakhstan,1074283,18776707,0.05721359980746358,7,0.8603952688315185
216,6.14,Romania,1827867,19237691,0.09501488510237534,84,1.3898591803569489
162,6.106,Kuwait,425455,4270571,0.09962485110304922,240,2.8755361999687863
227,6.078,Serbia,1327455,8737371,0.151928423320928,100,1.4079166856644487
111,6.061,El Salvador,122063,6486205,0.018818862493553627,313,0.5819804862069545
182,6.049,Mauritius,23805,1271768,0.018718036623031873,626,0.86362688303331
165,6.032,Latvia,283149,1886198,0.1501162656306496,30,1.0486123888780658
92,6.012,Colombia,5242672,50882891,0.10303408271357851,46,2.352543577981689
145,5.992,Hungary,1276433,9660351,0.13213112028745125,107,0.6562869602489028
248,5.985,Thailand,2245250,69799978,0.03216691558269546,137,0.9487577027420936
200,5.972,Nicaragua,17526,6624554,0.002645612066865181,55,0.9064464547298844
155,5.94,Japan,1741837,126476461,0.013772025135965813,347,2.1629466587502715
214,5.929,Portugal,1499976,10196709,0.14710393323963644,111,1.8866231027371083
6,5.929,Argentina,6025303,45195774,0.13331562813815293,17,2.378464006538774
144,5.919,Honduras,379402,9904607,0.038305608693005186,89,0.5759961851194076
98,5.882,Croatia,745544,4105267,0.1816067018296252,73,1.099691334261444
212,5.88,Philippines,2888917,109581078,0.02636328326684284,368,4.310811328298687
211,5.84,Peru,2329717,32971854,0.07065774948536409,26,1.4958472365978492
28,5.813,Bosnia and Herzegovina,297333,3280819,0.0906276755895403,64,2.027244101191271
185,5.766,Moldova,378904,4033963,0.09392847678573155,123,0.8796480984543359
109,5.764,Ecuador,559950,17643054,0.03173770255421766,71,1.5683194389112391
163,5.744,Kyrgyzstan,185237,6524195,0.028392315067222854,34,1.0359893526395962
136,5.723,Greece,1422020,10423054,0.13643026314552337,81,2.3849392492252703
27,5.716,Bolivia,641817,11673021,0.05498293886389821,11,1.3461384536986292
187,5.677,Mongolia,391657,3278290,0.11946990656714324,2,0.991878142671946
210,5.653,Paraguay,472673,7132538,0.06626995888420083,18,1.3107778564590649
188,5.581,Montenegro,183220,628066,0.2917209337872134,47,2.374144961420636
108,5.545,Dominican Republic,439017,10847910,0.040470191954026166,225,2.7237847773127206
22,5.534,Belarus,704907,9449323,0.07459867759838457,47,0.7755221632737405
217,5.477,Russia,10420863,145934462,0.07140782826197695,9,0.7616120483183886
246,5.466,Tajikistan,17493,9537645,0.0018341005562693936,68,0.0025943121303448
275,5.411,Vietnam,1843563,97338579,0.01893969502061459,314,1.034192674903397
169,5.41,Libya,392276,6871292,0.057089118029040244,4,1.0619433170470072
